customerkey,customercode,name,education,occupation
18130,CS29129,Timothy Watson,Graduate Degree,Management
18220,CS29219,Darren Arun,Graduate Degree,Management
18221,CS29220,Melinda Ramos,Graduate Degree,Management
18222,CS29221,Kelly Bennett,Bachelors,Management
18229,CS29228,Courtney Campbell,Graduate Degree,Management
18235,CS29234,Kevin Lopez,Bachelors,Management
18236,CS29235,Isaiah Rogers,Partial College,Professional
18237,CS29236,Eric Young,Partial College,Professional
18239,CS29238,Xavier Powell,Partial College,Professional
18240,CS29239,Samantha Miller,Partial College,Professional
18244,CS29243,Jared Torres,Bachelors,Management
18245,CS29244,Eric Ross,Bachelors,Management
18246,CS29245,Angel Roberts,Bachelors,Management
18252,CS29251,Mandy Zhou,Bachelors,Management
18253,CS29252,Alex Parker,Bachelors,Management
18262,CS29261,Robert Turner,Graduate Degree,Management
18275,CS29274,Miguel Green,High School,Professional
18355,CS29354,Isaiah Edwards,Graduate Degree,Professional
82,CS11081,Savannah Baker,Bachelors,Management
83,CS11082,Angela Butler,Graduate Degree,Management
84,CS11083,Alyssa Cox,Graduate Degree,Management
174,CS11173,Sarah Thomas,Graduate Degree,Management
175,CS11174,Nicholas Robinson,Graduate Degree,Management
178,CS11177,Jose Flores,Graduate Degree,Management
17164,CS28163,Rachel Washington,Partial College,Skilled Manual
14157,CS25156,Catherine Peterson,Graduate Degree,Management
15059,CS26058,Faith Stewart,Bachelors,Management
15106,CS26105,Morgan Gonzales,Partial College,Professional
18223,CS29222,Evan Perez,Bachelors,Management
18254,CS29253,Savannah Green,Bachelors,Management
17606,CS28605,Caleb Coleman,Partial High School,Clerical
14065,CS25064,James Harris,Bachelors,Management
14177,CS25176,Edward Flores,Bachelors,Management
14293,CS25292,Eduardo Adams,Bachelors,Management
16643,CS27642,Kayla Johnson,High School,Professional
17259,CS28258,Destiny Bryant,Bachelors,Management
17270,CS28269,Alexandra Green,Bachelors,Management
18046,CS29045,Anna Jones,Graduate Degree,Management
17159,CS28158,Clarence Luo,Bachelors,Professional
14173,CS25172,Evan Gray,Bachelors,Management
15098,CS26097,Robert Flores,Graduate Degree,Management
15540,CS26539,Faith Hayes,Graduate Degree,Management
15690,CS26689,Arthur Gill,Bachelors,Management
16459,CS27458,Roger Liang,Bachelors,Management
16617,CS27616,Emma Brown,Bachelors,Management
16628,CS27627,Jason Yang,Graduate Degree,Management
16663,CS27662,Bianca Zheng,Partial College,Professional
17078,CS28077,Sarah Williams,Bachelors,Management
5970,CS16969,Jackson Turner,Graduate Degree,Professional
18238,CS29237,Jennifer Jenkins,Partial College,Professional
18247,CS29246,Thomas Williams,Bachelors,Management
9846,CS20845,Barry Malhotra,Bachelors,Clerical
9848,CS20847,Kyle Young,Bachelors,Clerical
9855,CS20854,Kara Raji,High School,Manual
6112,CS17111,Jenny Chande,Partial College,Clerical
6114,CS17113,Clarence Pal,Partial College,Clerical
6195,CS17194,Wyatt Thompson,Partial College,Professional
6199,CS17198,Cheryl Jiménez,Partial College,Professional
6200,CS17199,Dennis Zhou,High School,Professional
6201,CS17200,Russell She,Partial College,Professional
6202,CS17201,Vincent Yang,Partial College,Professional
4668,CS15667,Hector Ramos,Bachelors,Clerical
4673,CS15672,Kelvin Nara,Partial College,Manual
4681,CS15680,Tasha She,High School,Manual
9894,CS20893,Robert Hall,Bachelors,Clerical
6115,CS17114,Jarrod Mehta,Partial College,Clerical
6198,CS17197,Mindy Nara,Partial College,Professional
4675,CS15674,Tommy Raheem,Bachelors,Clerical
12275,CS23274,Ethan Jackson,High School,Skilled Manual
12277,CS23276,Vincent Zhou,High School,Skilled Manual
12278,CS23277,Isaiah Torres,High School,Skilled Manual
12279,CS23278,Chloe Flores,High School,Skilled Manual
12328,CS23327,Madison Moore,Partial College,Skilled Manual
12380,CS23379,Riley Richardson,Bachelors,Professional
12518,CS23517,Ronald Martinez,High School,Professional
12550,CS23549,George Sai,High School,Skilled Manual
12559,CS23558,Dakota Barnes,High School,Skilled Manual
12565,CS23564,Jessica Howard,Partial High School,Clerical
12667,CS23666,Olivia Anderson,High School,Professional
12668,CS23667,Harold Arun,High School,Professional
12688,CS23687,Melissa Flores,Partial High School,Clerical
12689,CS23688,Olivia Thomas,Partial High School,Clerical
12693,CS23692,Isaac King,Partial High School,Clerical
12694,CS23693,Jacqueline Jenkins,Partial High School,Clerical
12695,CS23694,Brian Brooks,Partial High School,Clerical
12696,CS23695,Elijah Coleman,Partial High School,Skilled Manual
12698,CS23697,Cody Kelly,Partial High School,Skilled Manual
12699,CS23698,Melissa Coleman,Partial High School,Skilled Manual
12700,CS23699,Nicholas Walker,Partial High School,Skilled Manual
12701,CS23700,Katelyn Young,Partial High School,Skilled Manual
12787,CS23786,Carrie Serrano,Partial High School,Manual
12788,CS23787,Adrian Ward,High School,Clerical
12790,CS23789,Ryan Walker,High School,Clerical
12791,CS23790,Isabella Williams,Partial High School,Clerical
12792,CS23791,Aaron Griffin,Partial High School,Clerical
12793,CS23792,Jessie Wu,Partial High School,Clerical
12795,CS23794,Abigail Powell,High School,Clerical
18328,CS29327,Allen Chandra,High School,Skilled Manual
18330,CS29329,Lucas Campbell,High School,Skilled Manual
18335,CS29334,Paige Howard,Partial High School,Clerical
5083,CS16082,Autumn Zeng,Bachelors,Skilled Manual
5085,CS16084,Allison Wright,Bachelors,Professional
5088,CS16087,Micah Chen,Graduate Degree,Professional
5089,CS16088,Bryce Sanders,Bachelors,Professional
5846,CS16845,Andrea Adams,Graduate Degree,Management
5853,CS16852,Kate She,Bachelors,Management
5854,CS16853,Christina Bailey,Bachelors,Management
5855,CS16854,Seth Adams,Graduate Degree,Management
5862,CS16861,Luis Sharma,Bachelors,Management
5863,CS16862,Timothy Nelson,Bachelors,Management
5866,CS16865,Jordyn Diaz,High School,Professional
5073,CS16072,Caleb Evans,Graduate Degree,Professional
5075,CS16074,Caleb Roberts,Graduate Degree,Professional
5076,CS16075,Alexis Johnson,Graduate Degree,Professional
5077,CS16076,Catherine Rogers,Graduate Degree,Professional
5078,CS16077,Stephanie Rogers,Graduate Degree,Professional
5080,CS16079,Natalie Carter,Graduate Degree,Professional
5081,CS16080,Oscar Patterson,High School,Skilled Manual
12796,CS23795,Lauren Moore,High School,Clerical
12797,CS23796,Miguel Young,High School,Clerical
12798,CS23797,Nathan Perez,Partial High School,Clerical
12801,CS23800,Kaylee Cox,Partial High School,Clerical
12802,CS23801,Taylor Wood,Partial High School,Clerical
12803,CS23802,Emily Diaz,Partial High School,Clerical
12806,CS23805,Luke Hayes,High School,Skilled Manual
13238,CS24237,Chloe Henderson,Partial College,Skilled Manual
13276,CS24275,Lucas Rivera,Partial College,Skilled Manual
13448,CS24447,Cody Morgan,High School,Professional
13449,CS24448,Amanda Lopez,High School,Professional
13450,CS24449,Melanie Simmons,High School,Professional
13452,CS24451,Bailey Morgan,High School,Professional
13491,CS24490,Dwayne Suarez,High School,Skilled Manual
13493,CS24492,Devin Lopez,High School,Skilled Manual
13619,CS24618,Brett Gonzalez,High School,Professional
13620,CS24619,Shelby Kelly,High School,Professional
13621,CS24620,Olivia Morgan,High School,Professional
13649,CS24648,Amanda King,Partial High School,Clerical
13652,CS24651,Dakota Alexander,Partial High School,Clerical
13653,CS24652,Luke Butler,Partial High School,Clerical
13738,CS24737,Angela Bailey,Partial High School,Clerical
13741,CS24740,Shelby Cooper,Partial High School,Clerical
13742,CS24741,Brittany Perry,Partial High School,Clerical
13744,CS24743,Chloe Coleman,High School,Skilled Manual
13746,CS24745,Jennifer Ward,High School,Skilled Manual
12692,CS23691,Karen Hu,Partial High School,Clerical
12794,CS23793,Ryan Kumar,High School,Clerical
12800,CS23799,Carolyn Chandra,Partial High School,Clerical
13500,CS24499,Olivia Lewis,Partial High School,Clerical
13618,CS24617,Kelsey She,High School,Professional
18336,CS29335,Justin Bryant,Partial High School,Clerical
5079,CS16078,Nicole James,Graduate Degree,Professional
5087,CS16086,Charles Watson,Graduate Degree,Professional
5861,CS16860,Haley Rogers,Bachelors,Management
12276,CS23275,Miguel Jackson,High School,Skilled Manual
12329,CS23328,Julian Butler,Partial College,Skilled Manual
12520,CS23519,Jacqueline Long,High School,Professional
12697,CS23696,Autumn Li,Partial High School,Skilled Manual
12805,CS23804,Kristen Ma,High School,Skilled Manual
13237,CS24236,Isabella Nelson,Partial College,Skilled Manual
13651,CS24650,Julia Baker,Partial High School,Clerical
13737,CS24736,Savannah Ramirez,Partial High School,Clerical
5867,CS16866,Alexandra Parker,Bachelors,Management
12281,CS23280,Hannah Alexander,High School,Skilled Manual
12789,CS23788,Michael Smith,High School,Clerical
13451,CS24450,Isabel Long,High School,Professional
13733,CS24732,Wyatt Davis,Bachelors,Skilled Manual
13743,CS24742,Rachel Ramirez,High School,Clerical
18329,CS29328,Jason Alexander,High School,Skilled Manual
5074,CS16073,Miranda Bryant,Graduate Degree,Professional
5082,CS16081,Arturo Cai,Bachelors,Skilled Manual
9329,CS20328,Sierra Carter,Bachelors,Management
9330,CS20329,Jose Yang,Bachelors,Management
9336,CS20335,Adam Gonzales,Bachelors,Management
9337,CS20336,Ian Young,Bachelors,Management
9338,CS20337,Xavier Hall,High School,Professional
9339,CS20338,Anna James,Bachelors,Management
9341,CS20340,Makayla Kelly,Bachelors,Management
9345,CS20344,Ashlee Anand,Bachelors,Management
9346,CS20345,Regina Martinez,Bachelors,Management
9347,CS20346,Angelica Washington,Bachelors,Management
9348,CS20347,Savannah Roberts,Bachelors,Management
9361,CS20360,Brianna Russell,Graduate Degree,Management
9365,CS20364,Anna Jackson,Graduate Degree,Management
9367,CS20366,Marcus Powell,High School,Professional
9368,CS20367,Jessica Anderson,High School,Professional
9462,CS20461,Mackenzie Nelson,Bachelors,Management
9476,CS20475,Blake Martinez,Bachelors,Management
9477,CS20476,Destiny Long,Graduate Degree,Management
9478,CS20477,Brandon Washington,Graduate Degree,Management
9636,CS20635,Nathan Young,Bachelors,Management
9637,CS20636,Olivia Patterson,Bachelors,Management
9645,CS20644,Patrick Brooks,Graduate Degree,Management
10272,CS21271,Thomas Wang,Bachelors,Management
10288,CS21287,Kendra Jimenez,Bachelors,Management
10289,CS21288,Hunter Hall,Bachelors,Management
10294,CS21293,Ashley Garcia,Partial College,Professional
10295,CS21294,David Foster,Bachelors,Management
10301,CS21300,Kaylee Morgan,Bachelors,Management
10317,CS21316,John Thompson,Graduate Degree,Management
10325,CS21324,Chloe Baker,Partial College,Professional
10327,CS21326,Andrea Green,Partial College,Professional
10328,CS21327,Connor Washington,Bachelors,Management
10420,CS21419,Gilbert Ma,Bachelors,Management
10434,CS21433,Gerald Martinez,Bachelors,Management
10435,CS21434,Isabella Smith,Graduate Degree,Management
10436,CS21435,Connor Alexander,Bachelors,Management
1710,CS12709,Ian Rodriguez,Bachelors,Management
2017,CS13016,Antonio Bryant,Graduate Degree,Management
2093,CS13092,William Walker,Graduate Degree,Management
2177,CS13176,Kurt Chander,Graduate Degree,Management
2187,CS13186,Marcus Sanders,Graduate Degree,Management
6624,CS17623,Austin Robinson,Bachelors,Professional
6625,CS17624,Samantha Alexander,Bachelors,Professional
6660,CS17659,Jodi Tang,Graduate Degree,Skilled Manual
6661,CS17660,Seth Young,Graduate Degree,Skilled Manual
6662,CS17661,Natalie Smith,Partial College,Clerical
9328,CS20327,Sophia Perez,Bachelors,Management
10326,CS21325,Angela Hayes,High School,Professional
1534,CS12533,Luis Washington,Graduate Degree,Management
9335,CS20334,Jeremiah Mitchell,Bachelors,Management
10271,CS21270,Daniel Jackson,Graduate Degree,Management
1365,CS12364,Erin Rogers,Bachelors,Management
9340,CS20339,Kaitlyn Hughes,Bachelors,Management
9349,CS20348,Chloe Evans,Bachelors,Management
9463,CS20462,Haley Mitchell,Graduate Degree,Management
10318,CS21317,Lauren Rivera,Graduate Degree,Management
10744,CS21743,Theresa Rubio,Bachelors,Management
5372,CS16371,Caleb Diaz,Partial College,Clerical
5373,CS16372,Vanessa Foster,Partial College,Clerical
5374,CS16373,Sara Cook,Partial College,Clerical
5376,CS16375,Gabriella Hernandez,Partial College,Clerical
5377,CS16376,Maria Wright,Partial College,Clerical
5378,CS16377,Jordan Adams,Graduate Degree,Skilled Manual
5379,CS16378,Hailey Baker,Graduate Degree,Skilled Manual
17642,CS28641,Brittany Butler,Graduate Degree,Skilled Manual
17644,CS28643,Xavier Gray,Graduate Degree,Skilled Manual
17645,CS28644,Martha Chow,Graduate Degree,Skilled Manual
17646,CS28645,Martin Fernandez,Graduate Degree,Skilled Manual
17650,CS28649,Nathan Martinez,Graduate Degree,Skilled Manual
5383,CS16382,Jennifer Davis,Graduate Degree,Skilled Manual
5384,CS16383,Brian Kelly,Graduate Degree,Skilled Manual
5385,CS16384,Jada Reed,Graduate Degree,Skilled Manual
5386,CS16385,James Perez,Graduate Degree,Skilled Manual
5478,CS16477,Anna Gonzales,Partial High School,Clerical
5479,CS16478,Adrian Gray,Partial College,Skilled Manual
9788,CS20787,Bridget Pal,Graduate Degree,Skilled Manual
9789,CS20788,Sara Gonzalez,Graduate Degree,Skilled Manual
9791,CS20790,Kayla Harrison,Graduate Degree,Skilled Manual
9792,CS20791,Ryan Patterson,Graduate Degree,Skilled Manual
10141,CS21140,Byron Diaz,High School,Skilled Manual
7228,CS18227,Miranda Diaz,Partial College,Skilled Manual
7229,CS18228,Adam Parker,Partial College,Skilled Manual
7230,CS18229,Gabriella Ward,Partial College,Skilled Manual
7231,CS18230,Brianna Perry,Bachelors,Professional
7233,CS18232,Sophia Edwards,Partial College,Skilled Manual
7234,CS18233,Mackenzie Bailey,Bachelors,Professional
7235,CS18234,Alexandria Russell,Bachelors,Professional
7312,CS18311,Jennifer Mitchell,High School,Skilled Manual
7313,CS18312,Miguel Moore,High School,Skilled Manual
7319,CS18318,Benjamin Hughes,High School,Skilled Manual
7324,CS18323,Jeremy Clark,High School,Skilled Manual
7329,CS18328,Alvin Rai,High School,Skilled Manual
10142,CS21141,Omar Li,High School,Skilled Manual
10143,CS21142,Mason Brooks,High School,Skilled Manual
10144,CS21143,Allison Campbell,Partial College,Skilled Manual
10146,CS21145,Mindy Lal,Bachelors,Professional
10147,CS21146,Robert Taylor,Partial College,Skilled Manual
10148,CS21147,Angel Rogers,Partial College,Skilled Manual
8405,CS19404,Nicole Moore,High School,Skilled Manual
8634,CS19633,Destiny Gray,High School,Skilled Manual
8639,CS19638,Kimberly Peterson,High School,Skilled Manual
8640,CS19639,Victor Gill,High School,Skilled Manual
8642,CS19641,Richard Evans,Partial High School,Clerical
8645,CS19644,Gloria Gill,Partial High School,Clerical
8657,CS19656,Sydney Travers,Partial College,Skilled Manual
8770,CS19769,Andrea Peterson,Partial College,Skilled Manual
9070,CS20069,Jessica Smith,Graduate Degree,Skilled Manual
9075,CS20074,Preston Madan,High School,Manual
9077,CS20076,Beth Vazquez,High School,Manual
9078,CS20077,Aidan Coleman,High School,Manual
9079,CS20078,Jose Lee,High School,Manual
9080,CS20079,Alexandra Taylor,High School,Manual
9082,CS20081,Jerry Xie,High School,Manual
9090,CS20089,Luis Powell,High School,Manual
9091,CS20090,Blake Edwards,High School,Clerical
9092,CS20091,Andrea Parker,High School,Clerical
9096,CS20095,Ana Flores,High School,Clerical
9099,CS20098,Alexis Lewis,High School,Skilled Manual
9100,CS20099,Devon Xie,High School,Skilled Manual
9101,CS20100,Jesse Watson,High School,Skilled Manual
9102,CS20101,Devin Hayes,High School,Skilled Manual
9140,CS20139,Connor Wright,Bachelors,Manual
9271,CS20270,Kevin Phillips,High School,Skilled Manual
9277,CS20276,Haley Sanchez,High School,Skilled Manual
9294,CS20293,Rachel Jackson,Partial College,Skilled Manual
9295,CS20294,Julia Davis,Partial College,Skilled Manual
9306,CS20305,Caleb Ross,Partial College,Skilled Manual
9307,CS20306,Mary Baker,Partial College,Skilled Manual
9309,CS20308,Pieter Uittenbogaard,Partial College,Skilled Manual
9498,CS20497,Francisco Javier Castrejón,Partial High School,Clerical
9738,CS20737,Victoria Griffin,Partial College,Clerical
9740,CS20739,Kaitlyn Carter,High School,Manual
9743,CS20742,Isabella Stewart,High School,Manual
9744,CS20743,Arianna Howard,High School,Manual
9745,CS20744,Amanda Barnes,High School,Manual
9748,CS20747,Melody Vazquez,Partial High School,Clerical
9749,CS20748,Stephanie Watson,Partial High School,Clerical
9750,CS20749,Joan Morgan,High School,Clerical
9752,CS20751,Jermaine Arthur,High School,Clerical
9753,CS20752,Christian Simmons,High School,Clerical
9754,CS20753,Taylor Kelly,High School,Clerical
9759,CS20758,Jesse Sanders,High School,Skilled Manual
9763,CS20762,Jennifer King,High School,Skilled Manual
9764,CS20763,Lucas Carter,High School,Skilled Manual
10234,CS21233,Christopher Smith,High School,Skilled Manual
10235,CS21234,Brianna Rivera,High School,Skilled Manual
10238,CS21237,Luke Washington,High School,Skilled Manual
10241,CS21240,Aaron Jenkins,Partial High School,Clerical
10242,CS21241,Carson Griffin,Partial High School,Clerical
10243,CS21242,Morgan Patterson,Partial High School,Clerical
10386,CS21385,Nicole Peterson,Partial College,Skilled Manual
10387,CS21386,Abigail Wood,Partial College,Skilled Manual
10698,CS21697,Dalton Powell,High School,Manual
10699,CS21698,Tracy She,High School,Manual
10702,CS21701,Abigail Sanders,High School,Clerical
10707,CS21706,Haley Murphy,High School,Skilled Manual
10708,CS21707,Cassidy Simmons,High School,Skilled Manual
11013,CS22012,Regina Malhotra,High School,Skilled Manual
11014,CS22013,Marcus Jenkins,High School,Skilled Manual
11022,CS22021,Ethan White,Partial High School,Clerical
11023,CS22022,Christopher Davis,Partial High School,Clerical
11332,CS22331,Michele Yuan,Partial College,Clerical
5380,CS16379,Marc Jimenez,Graduate Degree,Skilled Manual
9084,CS20083,Terry Kumar,High School,Manual
9272,CS20271,Barry Fernandez,High School,Skilled Manual
9308,CS20307,Natalie Blue,Partial College,Skilled Manual
9755,CS20754,Ian Davis,High School,Skilled Manual
10697,CS21696,Gabrielle Watson,High School,Manual
10706,CS21705,Warren Sharma,High School,Skilled Manual
11024,CS22023,Rafael Chen,Partial High School,Clerical
10140,CS21139,Alex Adams,Partial College,Skilled Manual
7227,CS18226,Joseph Walker,Partial College,Skilled Manual
9089,CS20088,Jose Lewis,Partial High School,Clerical
9106,CS20105,Alexis Taylor,High School,Skilled Manual
9293,CS20292,Katherine Ross,Partial College,Skilled Manual
11012,CS22011,Richard Patterson,High School,Skilled Manual
7232,CS18231,Janet Gutierrez,Graduate Degree,Professional
10145,CS21144,Lucas Richardson,Partial College,Skilled Manual
8804,CS19803,Jermaine Mehta,Partial High School,Skilled Manual
9081,CS20080,Maria Stewart,High School,Manual
5375,CS16374,Edward Phillips,Partial College,Clerical
17643,CS28642,Lauren Ward,Graduate Degree,Skilled Manual
9095,CS20094,Lindsey Chande,High School,Clerical
9103,CS20102,Arianna Jenkins,High School,Skilled Manual
9276,CS20275,Angela Kelly,High School,Skilled Manual
9742,CS20741,Jocelyn Foster,High School,Manual
5382,CS16381,Kayla Davis,Graduate Degree,Skilled Manual
9758,CS20757,Alexia Powell,High School,Skilled Manual
11008,CS22007,Kaylee Hernandez,High School,Skilled Manual
11017,CS22016,Terrence Andersen,Partial High School,Clerical
9790,CS20789,Miguel Williams,Graduate Degree,Skilled Manual
7236,CS18235,Vincent Guo,Graduate Degree,Professional
10150,CS21149,Miguel Diaz,Partial College,Skilled Manual
12272,CS23271,Alexandra Clark,High School,Skilled Manual
12273,CS23272,Tristan Hayes,High School,Skilled Manual
12274,CS23273,Benjamin Long,High School,Skilled Manual
5775,CS16774,Eduardo Perry,Graduate Degree,Skilled Manual
5776,CS16775,Sarah Russell,Graduate Degree,Professional
5777,CS16776,Dalton Lewis,Bachelors,Skilled Manual
5778,CS16777,Cameron Simmons,Bachelors,Management
5780,CS16779,Morgan Watson,Bachelors,Management
5781,CS16780,Carlos Bailey,Bachelors,Management
5782,CS16781,Dylan Chen,Bachelors,Management
5783,CS16782,Lucas Clark,Bachelors,Management
6696,CS17695,Hunter Washington,Graduate Degree,Skilled Manual
6697,CS17696,Madison Simmons,Graduate Degree,Skilled Manual
6698,CS17697,Nathaniel Gray,Graduate Degree,Skilled Manual
6700,CS17699,Jesse Bell,Graduate Degree,Skilled Manual
6860,CS17859,Wyatt Gonzalez,Partial College,Skilled Manual
6861,CS17860,Noah Diaz,Partial College,Skilled Manual
6864,CS17863,Bailey Cooper,Bachelors,Professional
6865,CS17864,Emily Martinez,Partial College,Skilled Manual
6867,CS17866,Jack Baker,Partial College,Skilled Manual
6869,CS17868,Richard Blue,Graduate Degree,Professional
6870,CS17869,Henry Mehta,Graduate Degree,Professional
6871,CS17870,Melissa Price,Graduate Degree,Professional
7413,CS18412,Mary Parker,High School,Professional
7414,CS18413,Samuel Jackson,Partial College,Professional
7415,CS18414,Gabrielle Griffin,Partial College,Professional
7417,CS18416,Emma Peterson,Partial College,Professional
7425,CS18424,Samuel Williams,High School,Professional
13748,CS24747,Dakota Powell,Partial High School,Clerical
13750,CS24749,Marshall Guo,Partial High School,Clerical
13751,CS24750,Destiny Barnes,Partial High School,Clerical
13753,CS24752,Cameron Jackson,High School,Skilled Manual
13754,CS24753,Eduardo Jenkins,High School,Skilled Manual
13926,CS24925,Erick Perez,High School,Professional
13927,CS24926,Eric Roberts,High School,Professional
13928,CS24927,Kaitlyn Harris,High School,Professional
13929,CS24928,Timothy Wright,High School,Professional
13931,CS24930,Abigail Lewis,High School,Professional
13954,CS24953,Aaron Green,Partial High School,Clerical
13956,CS24955,Donald Perez,Partial High School,Skilled Manual
13957,CS24956,Ariana Ward,Partial High School,Skilled Manual
13958,CS24957,Anna Howard,Partial High School,Skilled Manual
14005,CS25004,Samuel Thomas,Partial College,Skilled Manual
14006,CS25005,Brianna Williams,Partial College,Skilled Manual
14007,CS25006,Bailey Murphy,Partial College,Skilled Manual
14008,CS25007,Alyssa Sanders,Partial College,Skilled Manual
14082,CS25081,Melanie Morris,Bachelors,Professional
14206,CS25205,John Jones,High School,Professional
14208,CS25207,Destiny Moore,High School,Professional
14209,CS25208,Daniel Taylor,High School,Professional
14254,CS25253,Ryan Miller,High School,Skilled Manual
14255,CS25254,Krystal She,High School,Skilled Manual
14258,CS25257,Harold Sanchez,High School,Skilled Manual
14259,CS25258,Micheal Vazquez,High School,Skilled Manual
14260,CS25259,Ethan Thomas,High School,Skilled Manual
